BAS_MGT_SN,CTP_KOR_NM,SIG_CD,SIG_KOR_NM,BAS_ID,BAS_AR,NTFC_DE,MVMN_DE,MVMN_RESN,OPERT_DE
1156000037,서울특별시,11560,영등포구,07353,0.022155,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000038,서울특별시,11560,영등포구,07352,0.042956,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000039,서울특별시,11560,영등포구,07316,0.046328,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000040,서울특별시,11560,영등포구,07312,0.026644,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000164,서울특별시,11560,영등포구,07434,0.065542,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000165,서울특별시,11560,영등포구,07239,0.043337,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000166,서울특별시,11560,영등포구,07226,0.05592,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000167,서울특별시,11560,영등포구,07227,0.037808,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000168,서울특별시,11560,영등포구,07217,0.060489,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000169,서울특별시,11560,영등포구,07218,0.049185,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000170,서울특별시,11560,영등포구,07210,0.144486,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000171,서울특별시,11560,영등포구,07211,0.058036,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000172,서울특별시,11560,영등포구,07411,0.064187,20121221,20121221,국가기초구역 최초생성,20121221000000
1162000135,서울특별시,11620,관악구,08834,0.07238,20121221,20121221,국가기초구역 최초생성,20121221000000
1162000136,서울특별시,11620,관악구,08836,0.024223,20121221,20121221,국가기초구역 최초생성,20121221000000
1162000137,서울특별시,11620,관악구,08852,0.079721,20121221,20121221,국가기초구역 최초생성,20121221000000
1162000076,서울특별시,11620,관악구,08708,0.07819,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000036,서울특별시,11530,구로구,08391,0.068122,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000037,서울특별시,11530,구로구,08380,0.031707,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000038,서울특별시,11530,구로구,08373,0.019127,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000039,서울특별시,11530,구로구,08375,0.084427,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000040,서울특별시,11530,구로구,08376,0.029094,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000041,서울특별시,11530,구로구,08372,0.020055,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000149,서울특별시,11530,구로구,08298,0.05345,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000150,서울특별시,11530,구로구,08300,0.06605,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000152,서울특별시,11530,구로구,08297,0.071623,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000153,서울특별시,11530,구로구,08295,0.02336,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000151,서울특별시,11530,구로구,08293,0.049975,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000104,서울특별시,11530,구로구,08226,0.113303,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000105,서울특별시,11530,구로구,08225,0.095878,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000106,서울특별시,11530,구로구,08255,0.272492,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000107,서울특별시,11530,구로구,08224,0.083315,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000108,서울특별시,11530,구로구,08276,0.05081,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000007,서울특별시,11530,구로구,08321,0.066802,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000008,서울특별시,11530,구로구,08320,0.030182,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000009,서울특별시,11530,구로구,08319,0.023676,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000041,서울특별시,11560,영등포구,07363,0.109781,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000036,서울특별시,11560,영등포구,07315,0.029324,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000042,서울특별시,11560,영등포구,07319,0.152561,20121221,20121221,국가기초구역 최초생성,20121221000000
