"고유번호","시군구코드","도로위계기능구분","작업일시","도로구간일련번호","위도","경도"
"32507","11410","4"," ","633","37.5692328","126.9340701"
"32514","11170","4"," ","2208","37.5319149","126.972328"
"32516","11170","4"," ","3156","37.5170804","126.9734474"
"32518","11560"," "," ","0","37.4946695","126.9023042"
"32521","11560"," "," ","0","37.4932725","126.9030952"
"32980","11680","4"," ","166","37.5067424","127.0394948"
"32981","11290","4"," ","1","37.6092626","127.0038642"
"32982","11290","4"," ","1","37.6096062","127.0041336"
"32983","11680","4","20080819","898","37.5064918","127.0363041"
"32985","11680","4","20080808","97","37.4928557","127.0393331"
"32986","11680","4","20080728","587","37.4925742","127.0313359"
"32987","11290","4"," ","1","37.6100636","127.0033817"
"32989","11680","4","20080808","592","37.4931294","127.035863"
"32990","11290","4"," ","1","37.6106156","127.0032452"
"32992","11290","4"," ","1","37.6019184","127.0166593"
"32996","11290","4","20110225","1","37.6034597","127.0333171"
"32997","11290","4"," ","1","37.6034704","127.0401996"
"32998","11290","4"," ","1","37.601693","127.0421425"
"33000","11290","4"," ","1","37.6187003","127.0501273"
"32901","11290","4"," ","1","37.5969363","126.9972866"
"32904","11290","4"," ","1","37.6084116","127.0035888"
"32906","11680","4","20080902","1366","37.5062913","127.0623553"
"32909","11680","4","20080715","1527","37.5251376","127.0430731"
"32913","11680","4","20080725","50","37.5066946","127.0278939"
"32917","11680","4","20080729","1745","37.5048612","127.0477703"
"33001","11290","4"," ","1","37.6192787","127.0493966"
"31906","11440","4"," ","1925","37.5615309","126.9264821"
"31908","11440","4"," ","1924","37.5613555","126.9262786"
"31909","11440","4"," ","1923","37.5611664","126.9260082"
"31912","11440","4"," ","1921","37.5603687","126.9257504"
"31913","11440","4","20101108","443","37.5649913","126.9219791"
"31914","11440","4","20090128","3029","37.5565584","126.9072701"
"31916","11410","4"," ","1657","37.5584551","126.9505606"
"31920","11410","4"," ","1336","37.5866195","126.9246378"
"31922","11410","4"," ","1867","37.5809622","126.9142847"
"31924","11410","4"," ","2828","37.5804911","126.914878"
"31925","11410","4"," ","658","37.579381","126.9096746"
"31927","11410","4"," ","3086","37.5748272","126.9373204"
"31928","11410","4"," ","700","37.5790801","126.9090437"
"31931","11410","4"," ","2779","37.5578478","126.9512711"
"31932","11410","4"," ","2109","37.5809861","126.9088549"
"31934","11410","4"," ","3371","37.557643","126.9532001"
"31935","11410","4"," ","1305","37.5807151","126.9079453"
"31938","11410"," "," ","0","37.5976247","126.9455418"
"31940","11170","4"," ","1724","37.5242143","126.9603698"
"31942","11410","4"," ","2646","37.573957","126.938076"
"31944","11410","4"," ","3344","37.5582347","126.9511892"
"31946","11410","4"," ","1053","37.5576709","126.9318582"
"31949","11230","4","20070323","2930","37.5874525","127.0447245"
"31950","11230","4","20070323","2924","37.587423","127.0444353"
"31952","11230","4","20070323","3074","37.5902559","127.0506742"
"31954","11230"," "," ","0","37.5787677","127.02656"
"31955","11305"," "," ","0","37.6390878","127.0334364"
"31956","11230","4"," ","1070","37.5792635","127.0252471"
"32261","11710","4"," ","523","37.5072401","127.1194798"
"32262","11440","4","20081215","2672","37.5492386","126.9631666"
"32264","11440","4","20090128","1192","37.5570142","126.9083942"
"32265","11440","4","20080221","3125","37.5497193","126.9421483"
"32267","11440","4"," ","300","37.5538522","126.9464283"
"32268","11440","4","20081205","2798","37.5566351","126.949643"
"32269","11440","4","20071231","2203","37.553561","126.9165621"
"32273","11410","4"," ","776","37.5570819","126.9388897"
"32274","11410"," "," ","0","37.5925019","126.945802"
"32275","11410"," "," ","0","37.5686223","126.9337271"
"32277","11410","3"," ","2189","37.5808643","126.9344278"
"32279","11410","4"," ","2027","37.5817339","126.9090678"
"32282","11410","4"," ","1379","37.577952","126.9110014"
"32283","11410","4"," ","1862","37.5779049","126.9111787"
"32285","11410","4"," ","2267","37.5776068","126.9105791"
"32287","11170","4","20131008163058","1208","37.5347214","126.9880244"
"32290","11560"," "," ","0","37.4995915","126.9111783"
"32291","11560"," "," ","0","37.4998256","126.9141599"
"32293","11560"," "," ","0","37.499035","126.9145394"
"32294","11560"," "," ","0","37.4989333","126.9142038"
"32296","11560"," "," ","0","37.4996951","126.9155158"
"32297","11410","4"," ","757","37.5590372","126.9331394"
"32300","11410","4"," ","68","37.5808174","126.9136692"
"32203","11410"," "," ","0","37.5936459","126.9490188"
"32205","11410","4"," ","327","37.5812484","126.9092241"
"32207","11410","4"," ","2417","37.5579063","126.9352579"
"32210","11410","3"," ","261","37.5772343","126.9310764"
"32215","11410","4"," ","269","37.5923774","126.9456625"
"32522","11410","4"," ","2765","37.5607718","126.9508929"
"32524","11410","3"," ","2163","37.5828531","126.9496371"
"32525","11410","4"," ","2096","37.5907901","126.9524814"
"32527","11410","4"," ","2265","37.5754467","126.931161"
"32531","11410","4"," ","1697","37.580438","126.9336518"
"32534","11410","3"," ","3138","37.5980949","126.946267"
"32537","11410","4"," ","3053","37.598156","126.9456279"
"32540","11410","4"," ","3085","37.5747815","126.9365895"
"32542","11410","4"," ","614","37.5596253","126.9577861"
"32545","11440","4"," ","489","37.5476371","126.9560776"
"32550","11170","4"," ","1673","37.5340046","126.9571158"
"32551","11170","4","20100716","1531","37.5303587","126.999257"
